alpha-3,month,temperatureHigh,temperatureLow,uvIndex,avg_temp
CYP,12,62.95,46.8,2.0,54.875
DEU,01,42.808709677419344,33.93451612903226,0.9354838709677419,38.371612903225795
DEU,02,45.7,35.24275862068965,1.206896551724138,40.47137931034483
DEU,03,49.463870967741926,33.42516129032258,2.4516129032258065,41.444516129032245
DEU,04,62.3625,39.559999999999995,4.5,50.96125000000001
DEU,12,35.55,25.02,1.0,30.284999999999997
DJI,01,74.11064516129032,58.58548387096773,7.612903225806452,66.34806451612903
DJI,02,76.2158620689655,58.99999999999999,9.344827586206897,67.60793103448276
DJI,03,79.8890322580645,62.36290322580647,9.612903225806452,71.12596774193551
DJI,04,82.375,64.704,9.9,73.5395
DJI,12,77.99,60.43,10.0,69.21
DNK,01,43.83241935483871,38.38322580645163,0.08064516129032258,41.10782258064517
DNK,02,41.66000000000001,35.69396551724138,0.5862068965517241,38.67698275862069
DNK,03,43.15904761904761,34.25142857142858,1.492063492063492,38.705238095238094
DNK,04,48.73825000000001,37.731750000000005,3.275,43.235
DNK,12,43.56,38.08,0.0,40.82
DOM,01,74.53838709677419,60.67322580645161,6.774193548387097,67.6058064516129
DOM,02,75.05137931034484,61.18586206896551,8.03448275862069,68.1186206896552
DOM,03,73.93129032258064,60.44516129032258,8.96774193548387,67.18822580645161
DOM,04,80.3,63.82900000000001,10.35,72.06450000000001
DOM,12,76.48,62.95,7.0,69.715
DZA,01,70.54838709677419,45.486774193548364,4.483870967741935,58.01758064516129
DZA,02,79.77034482758623,52.29620689655172,6.0344827586206895,66.03327586206896
DZA,03,83.0451612903226,55.05548387096774,8.483870967741936,69.05032258064517
DZA,04,88.66999999999999,64.59299999999999,8.6,76.6315
DZA,12,61.83,36.86,4.0,49.345
ECU,01,74.35096774193549,59.42645161290322,7.548387096774194,66.88870967741934
ECU,02,74.09551724137931,59.663793103448285,7.896551724137931,66.87965517241379
ECU,03,73.27322580645162,59.81129032258064,7.709677419354839,66.54225806451616
ECU,04,72.6,59.69100000000001,6.95,66.1455
ECU,12,71.77,61.43,7.0,66.6
EGY,01,63.38741935483869,39.64645161290323,5.096774193548387,51.516935483870974
EGY,02,69.71655172413793,43.77068965517242,6.862068965517241,56.743620689655174
EGY,03,80.2341935483871,53.178064516129034,8.709677419354838,66.70612903225806
EGY,04,83.5155,55.587,10.55,69.55125000000001
EGY,12,63.2,41.48,4.0,52.34
ESP,01,56.05225806451613,37.008387096774186,1.8064516129032258,46.53032258064517
ESP,02,63.739655172413784,39.17172413793103,3.5172413793103448,51.45568965517241
ESP,03,63.713225806451625,41.181290322580644,4.096774193548387,52.447258064516134
ESP,04,66.615,47.052,4.85,56.8335
ESP,12,54.45,29.69,2.0,42.07
EST,01,40.24612903225806,34.14387096774195,0.0,37.19499999999999
EST,02,38.133103448275854,30.99310344827585,0.6896551724137931,34.56310344827586
EST,03,42.0683870967742,30.3458064516129,1.6129032258064515,36.20709677419356
EST,04,47.4625,34.122,2.9,40.792249999999996
EST,12,39.13,34.8,0.0,36.965
ETH,01,80.23161290322581,59.76870967741935,8.548387096774194,70.00016129032258
ETH,02,84.60793103448277,62.41206896551725,10.068965517241379,73.51
ETH,03,86.76451612903223,65.10451612903226,9.903225806451612,75.93451612903226
ETH,04,84.72399999999999,66.189,9.1,75.4565
ETH,12,82.75,62.81,9.0,72.78
FIN,01,32.16096774193549,26.56516129032259,0.0,29.36306451612903
FIN,02,32.26241379310345,22.200689655172408,0.20689655172413793,27.23155172413793
